number_of_seats,length_mm,width_mm,height_mm,curb_weight_kg,maximum_torque_n_m,number_of_cylinders,valves_per_cylinder,turnover_of_maximum_torque_rpm,capacity_cm3,engine_hp,engine_hp_rpm,number_of_gears,injection_type_Injector,injection_type_Monoinjection,injection_type_Multi-point fuel injection,injection_type_carburetor,injection_type_direct injection,cylinder_layout_Opposed,cylinder_layout_Rotary-piston,cylinder_layout_V-type,cylinder_layout_W-type,cylinder_layout_inline,engine_type_Gas,engine_type_Gasoline,engine_type_Hybrid,boost_type_none,drive_wheels_Four wheel drive (4WD),drive_wheels_Front wheel drive,drive_wheels_Rear wheel drive,mixed_fuel_consumption_per_100_km_l
5,4496,1684,1349,1200,170,5,2,3000,2226,120,5500,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,10.3
5,4366,1716,1375,1230,185,4,4,4500,1984,140,5900,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.0
5,4366,1716,1375,1190,185,4,2,4500,1984,115,5900,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,7.0
5,4401,1716,1379,1525,350,5,4,1950,2226,230,5900,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,10.0
5,4366,1716,1379,1305,225,6,2,3500,2598,150,5750,4,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,9.0
5,4366,1716,1379,1305,225,6,2,3500,2598,150,5750,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,9.0
2,4440,1904,1252,1635,430,8,4,6000,4163,430,7900,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,14.2
2,4440,1904,1252,1660,430,8,4,6000,4163,430,7900,7,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,12.4
2,4440,1929,1252,1695,530,10,4,6500,5204,525,8000,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,14.9
2,4440,1929,1252,1645,540,10,4,6500,5204,550,8000,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,14.9
2,4440,1929,1252,1670,540,10,4,6500,5204,550,8000,7,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,12.9
